Plate,Sample,BULL_mt_wells,BULL_nu_wells,BULL_qPCR_wells
Plate 1,100822,0,0,0
Plate 1,100823,0,0,0
Plate 1,100824,0,0,0
Plate 1,101140,0,0,3
Plate 1,101141,0,0,2
Plate 1,101142,0,0,0
Plate 1,101143,0,0,0
Plate 1,101144,0,0,0
Plate 1,101145,0,0,0
Plate 1,101146,0,0,0
Plate 1,101147,0,0,0
Plate 1,101148,0,0,0
Plate 1,101149,0,0,0
Plate 1,101150,0,0,0
Plate 1,101155,0,0,0
Plate 1,101157,0,0,0
Plate 1,101156,0,0,0
Plate 1,101571,0,0,0
Plate 1,101572,0,0,0
Plate 1,101573,3,3,3
Plate 1,101574,3,3,1
Plate 1,101575,3,3,3
Plate 1,101576,3,0,2
Plate 1,101570,3,3,3
Plate 1,101577,3,3,3
Plate 1,101578,3,3,3
Plate 1,101579,3,3,3
Plate 1,101580,3,3,3
Plate 1,101581,3,3,3
Plate 1,101582,3,3,2
Plate 1,101583,3,3,3
Plate 1,101636,3,3,3
Plate 1,101637,3,2,2
Plate 1,101632,3,2,3
Plate 1,101633,3,3,3
Plate 1,101634,3,3,3
Plate 1,101635,0,0,0
Plate 1,101630,0,0,0
Plate 1,101631,0,0,0
Plate 1,101593,3,3,3
Plate 1,101623,3,0,0
Plate 1,101624,0,0,0
Plate 1,101625,0,0,0
Plate 1,101626,0,0,0
Plate 1,101627,0,0,0
Plate 1,101628,0,0,0
Plate 1,101654,0,0,0
Plate 1,101655,0,0,0
Plate 1,101656,0,0,0
Plate 1,101612,3,3,3
Plate 1,101613,3,3,3
Plate 1,101614,3,3,2
Plate 1,101615,3,0,0
Plate 1,101664,3,3,3
Plate 1,101665,3,3,3
Plate 1,101589,3,3,3
Plate 1,101590,1,2,0
Plate 1,101591,3,3,3
Plate 1,101592,2,3,2
Plate 1,101657,1,2,1
Plate 1,101658,3,3,3
Plate 1,101659,0,0,0
Plate 1,101660,0,0,0
Plate 1,101608,0,0,0
Plate 1,101641,3,3,3
Plate 1,101642,3,3,3
Plate 1,101643,0,0,0
Plate 1,101644,0,0,0
Plate 1,101645,0,0,0
Plate 1,101638,0,0,0
Plate 1,101639,0,0,0
Plate 1,101640,0,0,0
Plate 1,101666,3,3,3
Plate 1,101667,3,3,3
Plate 1,101678,3,2,3
Plate 1,101679,3,2,3
Plate 1,101680,0,0,0
Plate 1,101674,3,3,3
Plate 1,101675,3,3,3
Plate 1,101676,3,3,3
Plate 1,101677,3,3,3
Plate 2,101678,3,3,3
Plate 2,101669,1,3,3
Plate 2,101670,1,3,3
Plate 2,101671,3,0,0
Plate 2,101672,0,0,1
Plate 2,101766,1,3,3
Plate 2,101767,1,3,3
Plate 2,101810,2,0,0
Plate 2,101811,0,0,0
Plate 2,101812,0,0,0
Plate 2,101813,1,0,0
Plate 2,101756,2,3,3
Plate 2,101757,1,3,3
Plate 2,101758,1,3,3
Plate 2,101759,3,3,3
Plate 2,101793,1,3,3
Plate 2,101794,3,3,3
Plate 2,101795,1,3,3
Plate 2,101780,1,3,3
Plate 2,101814,1,3,2
Plate 2,101815,1,3,2
Plate 2,101816,3,3,3
Plate 2,101817,1,3,3
Plate 2,101818,2,3,3
Plate 2,101776,3,0,0
Plate 2,101777,2,0,0
Plate 2,101778,3,0,0
Plate 2,101779,1,0,0
Plate 2,101796,3,0,0
Plate 2,101797,2,0,0
Plate 2,101798,3,0,0
Plate 2,101799,2,0,0
Plate 2,101760,2,0,0
Plate 2,101761,3,0,0
Plate 2,101762,3,3,2
Plate 2,101763,3,3,3
Plate 2,101833,1,0,0
Plate 2,101834,1,0,0
Plate 2,101836,1,3,3
Plate 2,101946,3,3,3
Plate 2,101949,3,0,0
Plate 2,101950,1,1,0
Plate 2,101921,1,1,0
Plate 2,101922,1,1,0
Plate 2,101923,1,1,0
Plate 2,101924,0,1,0
Plate 2,101925,1,0,0
Plate 2,101926,1,0,0
Plate 2,101927,0,0,0
Plate 2,101928,2,0,0
Plate 2,101951,3,3,3
Plate 2,101952,3,3,3
Plate 2,101953,3,3,3
Plate 2,101961,3,0,1
Plate 2,101962,2,0,0
Plate 2,101986,2,0,0
Plate 2,101987,2,0,0
Plate 2,101988,2,0,0
Plate 2,101989,1,0,0
Plate 2,101990,0,0,0
Plate 2,101983,3,0,0
Plate 2,101984,0,0,0
Plate 2,101982,0,0,0
Plate 2,102114,0,0,0
Plate 2,102115,2,0,0
Plate 2,102116,3,0,0
Plate 2,102117,0,0,0
Plate 2,102118,1,0,0
Plate 2,102119,0,0,0
Plate 2,102120,1,0,0
Plate 2,102108,0,0,0
Plate 2,102109,0,0,0
Plate 2,102110,2,0,0
Plate 2,102111,2,0,0
Plate 2,102112,3,0,0
Plate 2,102113,2,0,0
Plate 2,102140,1,0,0
Plate 2,102141,3,3,3
Plate 2,102142,3,2,3
Plate 2,102143,3,1,3
Plate 2,102144,3,1,3
Plate 3,102146,2,3,3
Plate 3,102147,2,3,3
Plate 3,102148,2,3,3
Plate 3,102149,2,3,3
Plate 3,102150,2,3,3
Plate 3,102151,2,1,3
Plate 3,102152,2,3,3
Plate 3,102153,1,1,3
Plate 3,102154,2,3,3
Plate 3,102155,2,3,3
Plate 3,102156,2,3,3
Plate 3,102157,2,3,2
Plate 3,102158,2,3,2
Plate 3,102135,0,0,0
Plate 3,102136,0,0,0
Plate 3,102137,0,0,1
Plate 3,102138,0,0,0
Plate 3,102139,0,0,0
Plate 3,102140,0,0,0
Plate 3,102129,0,0,0
Plate 3,102130,0,0,0
Plate 3,102131,0,0,0
Plate 3,102132,0,0,0
Plate 3,102133,0,0,0
Plate 3,102134,0,0,0
Plate 3,102121,0,0,1
Plate 3,102973,2,3,2
Plate 3,102974,2,3,2
Plate 3,102975,2,3,3
Plate 3,103173,0,0,0
Plate 3,103174,0,0,0
Plate 3,103176,2,0,0
Plate 3,103177,0,0,0
Plate 3,103207,0,0,0
Plate 3,103245,0,0,0
Plate 3,103246,0,0,0
Plate 3,103247,0,0,0
Plate 3,103248,0,0,0
Plate 3,103249,2,0,0
Plate 3,103250,0,0,0
Plate 3,103251,0,0,0
Plate 3,103252,0,0,0
Plate 3,103253,0,0,0
Plate 3,103254,0,0,0
Plate 3,103255,0,0,0
Plate 3,103256,0,0,0
Plate 3,103279,2,3,3
Plate 3,103280,2,3,3
Plate 3,103281,2,3,3
Plate 3,103282,2,3,3
Plate 3,103283,2,3,3
Plate 3,103284,2,2,3
Plate 3,103214,0,2,0
Plate 3,103215,0,0,0
Plate 3,103236,0,0,0
Plate 3,103237,0,0,0
Plate 3,103238,0,0,0
Plate 3,103239,0,0,0
Plate 3,103240,1,0,0
Plate 3,103241,0,0,0
Plate 3,103242,0,0,0
Plate 3,103243,1,0,0
Plate 3,103244,0,0,0
Plate 3,103208,0,0,0
Plate 3,103209,0,0,0
Plate 3,103218,0,0,0
Plate 3,103219,0,0,0
Plate 3,103220,0,0,0
Plate 3,103221,0,0,0
Plate 3,103222,0,0,0
Plate 3,103257,0,0,0
Plate 3,103258,0,0,0
Plate 3,103259,0,0,0
Plate 3,103260,0,0,0
Plate 3,103261,0,0,0
Plate 3,103345,0,0,0
Plate 3,103346,0,0,0
Plate 3,103347,0,0,0
Plate 3,103348,2,0,0
Plate 3,103349,0,0,0
Plate 3,103350,2,0,0
Plate 4,103351,0,0,0
Plate 4,103352,0,0,0
Plate 4,103353,0,0,0
Plate 4,103354,0,0,0
Plate 4,103285,3,3,3
Plate 4,103286,3,3,3
Plate 4,103455,0,0,0
Plate 4,103457,0,0,0
Plate 4,103482,0,0,0
Plate 4,103485,0,0,0
Plate 4,103486,0,0,0
Plate 4,103449,3,3,3
Plate 4,103450,3,3,2
Plate 4,103451,3,3,3
Plate 4,103452,3,3,3
Plate 4,103453,3,3,3
Plate 4,103458,3,3,3
Plate 4,103459,3,3,3
Plate 4,103460,3,3,3
Plate 4,103461,3,3,3
Plate 4,103462,3,3,3
Plate 4,103463,2,3,3
Plate 4,103464,3,3,3
Plate 4,103465,3,3,3
Plate 4,103446,0,0,0
Plate 4,103447,0,0,0
Plate 4,103448,0,0,0
Plate 4,103466,3,3,3
Plate 4,103467,2,1,0
Plate 4,103468,3,3,3
Plate 4,103469,3,0,0
Plate 4,103470,0,0,0
Plate 4,103471,0,0,0
Plate 4,103472,0,0,0
Plate 4,103483,0,0,0
Plate 4,103484,0,0,0
Plate 4,103490,0,0,0
Plate 4,103492,0,0,0
Plate 4,103493,0,0,0
Plate 4,103496,3,3,3
Plate 4,103497,3,3,3
Plate 4,103503,0,0,0
Plate 4,103504,0,0,0
Plate 4,103505,0,0,0
Plate 4,103506,0,0,0
Plate 4,103550,0,0,0
Plate 4,103551,0,0,0
Plate 4,103552,0,0,0
Plate 4,103553,0,0,0
Plate 4,103554,0,0,0
Plate 4,103555,0,0,0
Plate 4,103556,0,0,0
Plate 4,103557,0,0,0
Plate 4,103558,0,0,0
Plate 4,103559,0,0,0
Plate 4,103560,0,0,0
Plate 4,103561,0,0,0
Plate 4,103562,0,0,0
Plate 4,103563,0,0,0
Plate 4,103564,0,0,0
Plate 4,103565,0,0,0
Plate 4,103568,3,3,3
Plate 4,103569,3,3,3
Plate 4,103570,3,3,3
Plate 4,103571,3,2,2
Plate 4,103572,3,3,3
Plate 4,103573,0,0,0
Plate 4,103574,0,0,0
Plate 4,103575,0,0,0
Plate 4,103583,0,0,0
Plate 4,103584,0,0,0
Plate 4,103585,0,0,0
Plate 4,103586,0,0,0
Plate 4,103578,0,0,0
Plate 4,103579,0,0,0
Plate 4,103580,0,0,0
Plate 4,103581,0,0,0
Plate 4,103582,0,0,0
Plate 4,103588,0,0,0
Plate 4,103590,0,0,0
Plate 4,103591,0,0,0
Plate 5,103533,0,0,0
Plate 5,103534,0,0,0
Plate 5,103535,0,0,0
Plate 5,103536,0,0,0
Plate 5,103537,0,0,0
Plate 5,103538,0,0,0
Plate 5,103539,0,0,0
Plate 5,103540,0,0,0
Plate 5,103541,0,0,0
Plate 5,103542,0,0,0
Plate 5,103543,0,0,0
Plate 5,103544,0,0,0
Plate 5,103545,0,0,0
Plate 5,103546,0,0,0
Plate 5,103547,0,0,0
Plate 5,103548,0,0,0
Plate 5,103549,0,0,0
Plate 5,103597,0,0,0
Plate 5,103598,0,0,0
Plate 5,103599,0,0,0
Plate 5,103600,0,0,0
Plate 5,103601,0,0,0
Plate 5,103602,0,0,0
Plate 5,103603,0,0,0
Plate 5,1013612,0,0,0
Plate 5,103621,0,0,0
Plate 5,103622,0,0,0
Plate 5,103623,0,0,0
Plate 5,103624,2,3,0
Plate 5,103625,0,0,0
Plate 5,103626,0,0,0
Plate 5,103627,0,0,0
Plate 5,103628,0,0,0
Plate 5,103613,0,0,0
Plate 5,103614,0,0,0
Plate 5,103615,0,0,0
Plate 5,103618,0,0,0
Plate 5,103619,0,0,0
Plate 5,103633,0,0,0
Plate 5,103634,0,0,0
Plate 5,103635,0,0,0
Plate 5,103643,0,0,0
Plate 5,103644,0,0,0
Plate 5,103645,0,0,0
Plate 5,103638,0,0,0
Plate 5,103640,0,0,0
Plate 5,103641,0,0,0
Plate 5,103604,0,0,0
Plate 5,103605,0,0,0
Plate 5,103606,0,0,0
Plate 5,103608,0,0,0
Plate 5,103609,0,0,0
Plate 5,103610,0,0,0
Plate 5,103611,0,0,0
Plate 5,103669,0,0,0
Plate 5,103670,0,0,0
Plate 5,103671,0,0,0
Plate 5,103672,0,0,0
Plate 5,103673,0,0,0
Plate 5,103677,0,0,0
Plate 5,103714,0,0,0
Plate 5,103715,0,0,0
Plate 5,103716,0,0,0
Plate 5,103674,0,0,0
Plate 5,103675,0,0,0
Plate 5,103676,0,0,0
Plate 5,103788,0,0,0
Plate 5,103789,0,0,0
Plate 5,103790,0,0,0
Plate 5,103791,0,0,0
Plate 5,103970,3,3,3
Plate 5,103971,3,3,3
Plate 5,103972,3,3,3
Plate 5,103973,3,3,3
Plate 5,103974,0,0,0
Plate 5,103975,3,3,3
Plate 5,103976,3,3,3
Plate 5,103977,3,3,3
Plate 5,103978,3,3,3
Plate 5,103979,3,3,3
Plate 5,103980,3,3,3
Plate 6,103981,2,0,0
Plate 6,103982,3,3,3
Plate 6,103983,3,3,3
Plate 6,103984,3,3,3
Plate 6,103967,3,3,3
Plate 6,103968,3,2,2
Plate 6,103969,3,3,3
Plate 6,103955,3,0,0
Plate 6,103956,3,3,3
Plate 6,103957,2,3,2
Plate 6,103958,3,3,3
Plate 6,103959,3,3,3
Plate 6,103960,3,3,3
Plate 6,103961,1,1,2
Plate 6,103962,0,0,0
Plate 6,103963,0,0,0
Plate 6,103964,3,3,3
Plate 6,103965,3,0,2
Plate 6,103966,3,3,3
Plate 6,103916,3,3,3
Plate 6,103917,3,3,3
Plate 6,103918,3,3,3
Plate 6,103919,3,3,3
Plate 6,103920,3,3,3
Plate 6,103921,3,3,3
Plate 6,103922,3,3,3
Plate 6,103923,3,3,3
Plate 6,103924,3,3,3
Plate 6,103925,3,3,3
Plate 6,103926,3,3,3
Plate 6,103927,0,0,0
Plate 6,103928,0,0,0
Plate 6,103929,3,3,3
Plate 6,103941,0,0,0
Plate 6,103942,0,0,0
Plate 6,103943,0,0,0
Plate 6,103944,0,0,0
Plate 6,103949,3,3,3
Plate 6,103950,0,0,0
Plate 6,103951,0,0,0
Plate 6,103985,3,3,3
Plate 6,105513,0,0,0
Plate 6,105514,0,0,0
Plate 6,105515,0,0,0
Plate 6,105516,0,0,0
Plate 6,105517,0,0,0
Plate 6,105999,0,0,
Plate 6,106000,0,0,
Plate 6,106001,0,0,
Plate 6,106026,0,0,
Plate 6,106027,0,0,
Plate 6,106028,0,0,
Plate 6,106029,0,0,
Plate 6,106030,0,0,
Plate 6,106031,0,0,
Plate 6,106032,0,0,
Plate 6,106033,0,0,
Plate 6,101256,3,3,3
Plate 6,101209,3,3,2
Plate 6,101238,3,3,3
Plate 6,101260,3,3,3
Plate 6,101223,3,3,3
Plate 6,101246,3,3,3
Plate 6,101248,3,3,3
Plate 6,101203,3,3,3
Plate 6,101204,3,3,3
Plate 6,101205,3,3,3
Plate 6,101206,3,3,3
Plate 6,101207,3,3,3
Plate 6,101230,3,3,3
Plate 6,101240,3,3,3
Plate 6,101241,3,3,3
Plate 6,101242,3,3,3
Plate 6,101667,3,3,3
Plate 6,100823,0,0,0
Plate 6,100824,0,0,0
Plate 6,101140,1,3,3
Plate 6,101141,0,0,6
Plate 6,103641,0,0,0
